Внутренний идентификатор;Снимаем;Реестровый номер с площадки;Название;Дата публикации в системе;Дата окончания;Цена;Валюта;Заказчик;ИНН заказчика;Площадка;Ссылка на тендер;Регион;Документация
72014778939;0;167131;167131 167131 Уведомление о проведении запроса информации на поставку оборудования для автоматизированной системы взвешивания г. Курск;07.11.2022 15:57;09.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54556;город Москва;
72014778940;0;167144;167144 167144 Уведомление о проведении запроса информации на поставку оборудования для автоматизированной системы взвешивания г. Курск;07.11.2022 15:57;09.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54559;город Москва;
72015120545;0;COM07112200104;Открытый запрос предложений (продажа коммерческая)на право заключения договора поставки лома железа (ЛОТ № 1) и лома алюминия (ЛОТ № 2);07.11.2022 20:02;11.11.2022 16:00;-;RUB;"Акционерное общество ""Концэл"" 7735093237";7735093237;com.roseltorg.ru;https://com.roseltorg.ru/#com/procedure/view/procedure/807524;город Москва;http://www.tenderland.ru/getarch.php?id=72015120545&module=commerce
72016097915;1;167154;167154 167154 Уведомление о проведении запроса информации на поставку оборудования для системы видеоконференцсвязи г. Курчатов;08.11.2022 8:16;14.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54576;город Москва;
72016161805;1;B0711222242387;B0711222242387 Поставка офисной техники (мониторы, ноутбуки, системные блоки);08.11.2022 9:01;11.11.2022 23:59;-;RUB;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛЕМЕНТ"" 9703014282";9703014282;www.roseltorg.ru;https://www.roseltorg.ru/procedure/B0711222242387;город Москва;http://www.tenderland.ru/getarch.php?id=72016161805&module=commerce
72016193459;1;166667;166667 Открытый запрос предложений по выбору поставщиков волоконно-оптического кабеля для нужд ГК МТС на 2023 г.;08.11.2022 9:14;23.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54588;город Москва;
72016260634;0;3145274;Запрос предложений № 3145274 Модернизация существующей (год ввода в эксплуатацию 2002) системы кондиционирования воздуха административного здания ПАО «МТС», расположенного по адресу: г. Тихорецк, ул. Подвойского, 84а. Модернизация существующей (год ввода в эксплуатацию 2002) системы кондиционирования воздуха административного здания ПАО «МТС», расположенного по адресу: г. Тихорецк, ул. Подвойского, 84а.;08.11.2022 10:02;11.11.2022 14:00;-;RUB;"ПАО ""МТС"" 7740000076";7740000076;www.b2b-center.ru;https://www.b2b-center.ru/market/view.html?id=3145274;Краснодарский край;
72016335560;0;COM08112200029;COM08112200029 Поставка волоконно-оптических компонентов;08.11.2022 11:01;17.11.2022 12:00;1 201 509,00;RUB;АКЦИОНЕРНОЕ ОБЩЕСТВО «К-ТЕХНОЛОГИИ» 7713723559;7713723559;www.roseltorg.ru;https://www.roseltorg.ru/procedure/COM08112200029;город Москва;http://www.tenderland.ru/getarch.php?id=72016335560&module=commerce
72016362575;1;167179;167179 предоставление лицензий на базы данных для составления сметной документации;08.11.2022 11:14;14.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54593;город Москва;
72016401040;0;2555475;RFI Метрологическое обслуживание газоанализаторов;08.11.2022 11:48;10.11.2022 17:00;-;RUB;ПАО МГТС 7710016640;7710016640;223.rts-tender.ru;https://223.rts-tender.ru/supplier/auction/Trade/View.aspx?Id=2555475;город Москва;http://www.tenderland.ru/getarch.php?id=72016401040&module=commerce
72016402714;1;167210;167210 167210 Уведомление о проведении запроса информации на поставку ноутбуков Lenovo и MSI, г. Казань;08.11.2022 11:55;14.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54600;город Москва;
72016402715;1;167213;167213 167213 Уведомление о проведении запроса информации на поставку аналоговых радиостанций, г. Нальчик;08.11.2022 11:55;09.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54602;город Москва;
72016661871;1;167242;167242 167242,2 Уведомление о продлении срока проведения запроса информации на поставку серверов г. Уфа;08.11.2022 14:55;15.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54619;город Москва;
72016661872;0;167042;167042 ТО, РВР, АВР и модернизация оборудования ЭПУ и АКБ в Башкортостане (торги 167042);08.11.2022 14:55;23.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54620;город Москва;
72016828750;1;167261;167261 167261 Уведомление о проведении запроса информации на поставку ИБП, карт памяти и прочего товара, г. Самара;08.11.2022 16:55;11.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54623;город Москва;
72016999757;0;167259;167259 Уведомление о проведении открытого запроса предложений (ОЗП) на выбор агентства для оказания услуг по организации конференции департамента деловой этики и комплаенс ПАО МТС (Торги 167259);08.11.2022 18:55;16.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54629;город Москва;
72017955919;0;SBR028-2211090001;Закупка услуг физической охраны объекта (непрофильного актива) ПАО «МТС-Банк» по адресу: Московская область, Раменский район, село Синьково, д.137б.;09.11.2022 6:09;16.11.2022 10:00;-;RUB;"ПАО ""МТС-Банк"" 7702045051";7702045051;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/5/0/0/1064997;город Москва;
